                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0257,                 3.3369,                 1.5024,                0.00351,                   0.64,                0.05141,                0.03233,                0.87202,                 3.7192,                 1.5796,                 0.0901,                 0.0011,                 0.0011
                      2,                0.94265,                  3.192,                 1.4342,                0.00387,                   0.64,                0.11316,                0.07201,                0.74641,                 3.6556,                 1.5091,               0.079277,              0.0022772,              0.0022772
                      3,                0.85641,                 2.9509,                 1.3924,                0.00547,                   0.68,                0.21517,                0.14944,                0.68465,                 3.4802,                 1.4049,               0.068431,              0.0034307,              0.0034307
                      4,                0.83652,                 2.5571,                 1.3806,                      1,                0.10698,                0.27976,                0.18829,                0.78792,                 3.1104,                 1.4987,                0.05756,              0.0045604,              0.0045604
                      5,                0.79761,                 2.3295,                 1.3292,                      1,                0.11019,                0.21944,                0.14659,                0.99135,                 3.2558,                 1.6195,               0.046666,              0.0056664,              0.0056664
                      6,                0.77786,                 2.1392,                 1.3115,                0.86589,                    0.2,                0.20561,                0.11842,                 1.2125,                 3.3834,                 1.9053,               0.035749,              0.0067485,              0.0067485
                      7,                0.78173,                 2.0949,                 1.3416,                0.98085,                0.17212,                0.41748,                0.26304,                0.90987,                 2.8629,                 1.5016,               0.024807,               0.007807,               0.007807
                      8,                0.84479,                 1.8629,                 1.3749,                0.99685,                0.18182,                0.46493,                 0.2902,                0.88415,                 2.5223,                 1.5379,               0.013842,              0.0088416,              0.0088416
                      9,                  0.827,                  1.812,                 1.3433,                0.99263,                    0.2,                0.39031,                 0.2632,                0.98907,                 2.3655,                 1.5478,               0.009208,               0.009208,               0.009208
                     10,                0.83107,                 1.7254,                 1.3412,                0.62255,                   0.54,                0.52345,                0.39787,                0.96949,                  2.374,                 1.5153,               0.009208,               0.009208,               0.009208
                     11,                0.84919,                 1.7006,                 1.3544,                0.59507,                0.48519,                 0.4476,                0.33019,                0.94895,                 2.2284,                 1.5027,               0.009109,               0.009109,               0.009109
                     12,                0.81682,                 1.5819,                 1.2991,                0.52883,                0.51563,                 0.5817,                 0.4272,                0.83974,                 2.1049,                 1.4583,                0.00901,                0.00901,                0.00901
                     13,                0.79151,                 1.5709,                  1.313,                0.39918,                0.52182,                0.44549,                0.33227,                0.96328,                 2.4161,                 1.6154,               0.008911,               0.008911,               0.008911
                     14,                0.85932,                 1.5455,                 1.3443,                0.40979,                0.63819,                0.48107,                0.36917,                0.96155,                 2.3064,                 1.5985,               0.008812,               0.008812,               0.008812
                     15,                0.82427,                 1.4989,                 1.3079,                0.60211,                   0.66,                0.60329,                0.39993,                0.85121,                 2.0394,                 1.4352,               0.008713,               0.008713,               0.008713
                     16,                0.78925,                 1.4905,                 1.3105,                0.85753,                   0.44,                 0.4957,                0.38811,                0.87742,                 2.0135,                 1.4844,               0.008614,               0.008614,               0.008614
                     17,                0.78769,                 1.4212,                 1.2906,                0.54887,                0.49933,                0.65427,                0.45933,                0.91231,                 2.1333,                  1.514,               0.008515,               0.008515,               0.008515
                     18,                0.79385,                 1.3921,                 1.2686,                0.67814,                   0.71,                 0.6173,                0.43372,                0.93297,                 1.9123,                 1.5364,               0.008416,               0.008416,               0.008416
