epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52158,1.25747,3.43682,1.63856,0.0084,1,0.37312,0.09517,0.77916,3.81853,1.5253,2.222e-05,2.222e-05,2.222e-05
2,4.06752,1.08376,3.54335,1.5143,0.00845,1,0.25691,0.14729,0.68845,3.73659,1.55178,5.28003e-05,5.28003e-05,5.28003e-05
3,4.63445,0.83106,3.32218,1.37615,0.01029,1,0.42522,0.34738,0.82591,3.69343,1.60051,8.00809e-05,8.00809e-05,8.00809e-05
4,5.15633,0.8145,3.25505,1.32358,0.01317,1,0.50219,0.34943,0.77979,3.68191,1.57604,0.000104062,0.000104062,0.000104062
5,5.67782,0.78707,3.24967,1.33344,0.01689,1,0.50165,0.36191,0.77349,3.67166,1.53561,0.000124743,0.000124743,0.000124743
6,6.20087,0.62603,2.99526,1.20983,0.02603,1,0.5019,0.37419,0.80829,3.63163,1.58503,0.000142125,0.000142125,0.000142125
7,6.74732,0.76185,2.87528,1.30835,0.03287,1,0.53304,0.40263,0.75589,3.59542,1.57981,0.000156207,0.000156207,0.000156207
8,7.26827,0.69299,2.68074,1.2379,0.03497,1,0.74625,0.4981,0.68952,3.54497,1.44933,0.000166989,0.000166989,0.000166989
9,7.87526,0.68838,2.61326,1.2275,0.035,1,0.58,0.46494,0.60124,3.44763,1.3649,0.000174471,0.000174471,0.000174471
10,8.38639,0.73493,2.52318,1.33946,0.04026,1,0.74625,0.60987,0.5354,3.33852,1.25354,0.000178654,0.000178654,0.000178654
11,8.90576,0.65281,2.58265,1.24377,0.04026,1,0.74625,0.60987,0.5354,3.33852,1.25354,0.000179538,0.000179538,0.000179538
12,9.41394,0.72015,2.72549,1.25832,0.03884,1,0.74625,0.59326,0.51943,3.31858,1.20721,0.000177121,0.000177121,0.000177121
13,9.89205,0.8301,2.98217,1.32397,0.03884,1,0.74625,0.59326,0.51943,3.31858,1.20721,0.000171405,0.000171405,0.000171405
14,10.4085,0.81149,2.68552,1.50238,0.04189,1,0.597,0.5174,0.53255,3.15794,1.23577,0.000162389,0.000162389,0.000162389
15,10.9044,0.78194,2.58195,1.32479,0.04189,1,0.597,0.5174,0.53255,3.15794,1.23577,0.000150074,0.000150074,0.000150074
16,11.4088,0.6386,2.39243,1.26262,0.04367,1,0.597,0.50441,0.54543,3.04327,1.23559,0.000134459,0.000134459,0.000134459
17,11.9068,0.65267,2.43771,1.22814,0.04367,1,0.597,0.50441,0.54543,3.04327,1.23559,0.000115544,0.000115544,0.000115544
18,12.5625,0.6297,2.40757,1.18549,0.0455,1,0.995,0.56715,0.55274,2.94852,1.2481,9.33296e-05,9.33296e-05,9.33296e-05
19,13.0284,0.60299,2.09352,1.10684,0.0455,1,0.995,0.56715,0.55274,2.94852,1.2481,6.78154e-05,6.78154e-05,6.78154e-05
20,13.4983,0.55433,2.39467,1.15145,0.0455,1,0.995,0.56715,0.55274,2.94852,1.2481,3.90017e-05,3.90017e-05,3.90017e-05
